iter	MultiClass
0	2.71383699
1	2.563506864
2	2.451913244
3	2.366478498
4	2.304707844
5	2.249679198
6	2.200919716
7	2.14781409
8	2.114298071
9	2.089208043
10	2.057377486
11	2.030722794
12	2.003300333
13	1.984597581
14	1.965559584
15	1.939616515
16	1.924464906
17	1.906753875
18	1.894557047
19	1.881510128
20	1.864593836
21	1.856363436
22	1.842534081
23	1.828139529
24	1.818787875
25	1.810545493
26	1.804185075
27	1.797317126
28	1.780996476
29	1.772540374
30	1.763721319
31	1.75637703
32	1.751143192
33	1.739421042
34	1.73224333
35	1.719557346
36	1.710990594
37	1.699981646
38	1.690067706
39	1.678464789
40	1.674691694
41	1.662057642
42	1.655428547
43	1.650483588
44	1.644921915
45	1.635858434
46	1.628544566
47	1.62323963
48	1.619827721
49	1.616200088
50	1.608230366
51	1.603283572
52	1.600122159
53	1.592647777
54	1.587645598
55	1.583717328
56	1.576927864
57	1.573007143
58	1.569905152
59	1.562379588
60	1.557641372
61	1.5497197
62	1.54712135
63	1.542720266
64	1.537143214
65	1.533866059
66	1.526438496
67	1.51844475
68	1.515754491
69	1.512004523
70	1.509176204
71	1.503191803
72	1.499638335
73	1.494710395
74	1.490119693
75	1.485226558
76	1.481315516
77	1.477278672
78	1.475054161
79	1.471870348
80	1.469812115
81	1.466932639
82	1.461530289
83	1.458526037
84	1.452509908
85	1.446296556
86	1.443107928
87	1.440919844
88	1.438466345
89	1.436256936
90	1.434533709
91	1.428715579
92	1.426148424
93	1.424401968
94	1.418886977
95	1.416093003
96	1.41446089
97	1.410082595
98	1.407965633
99	1.404195493
