iter	Passed	Remaining
0	217	21541
1	418	20494
2	598	19349
3	802	19250
4	967	18384
5	1148	17986
6	1346	17882
7	1525	17545
8	1695	17142
9	1891	17023
10	2083	16857
11	2296	16840
12	2513	16822
13	2660	16342
14	2854	16174
15	3033	15925
16	3216	15703
17	3393	15459
18	3541	15098
19	3709	14836
20	3923	14760
21	4083	14477
22	4237	14184
23	4430	14030
24	4609	13828
25	4764	13561
26	4918	13299
27	5098	13111
28	5263	12887
29	5415	12636
30	5574	12408
31	5758	12235
32	5912	12004
33	6118	11878
34	6283	11670
35	6451	11469
36	6639	11305
37	6817	11122
38	7016	10975
39	7210	10815
40	7366	10600
41	7524	10391
42	7714	10226
43	7927	10089
44	8086	9883
45	8268	9706
46	8424	9500
47	8586	9302
48	8759	9117
49	8909	8909
50	9137	8778
51	9301	8585
52	9461	8390
53	9643	8215
54	9795	8014
55	9968	7832
56	10151	7658
57	10308	7464
58	10484	7285
59	10641	7094
60	10799	6904
61	10997	6740
62	11137	6540
63	11305	6359
64	11476	6179
65	11616	5984
66	11808	5816
67	12001	5647
68	12142	5455
69	12313	5277
70	12513	5111
71	12686	4933
72	12867	4759
73	13029	4578
74	13202	4400
75	13408	4234
76	13610	4065
77	13775	3885
78	13929	3702
79	14100	3525
80	14266	3346
81	14430	3167
82	14581	2986
83	14757	2810
84	14923	2633
85	15171	2469
86	15339	2292
87	15500	2113
88	15657	1935
89	15826	1758
90	16074	1589
91	16267	1414
92	16414	1235
93	16574	1057
94	16753	881
95	16951	706
96	17093	528
97	17252	352
98	17409	175
99	17563	0
