index,MovieID,Title,MPAA_Rating,Budget,Gross,Release_Date,Genre,Runtime,Rating,Rating_Count
0,1,Look Who's Talking,PG-13,7500000,296000000,1989-10-12,Romance,93,5.9,73638
1,2,Driving Miss Daisy,PG,7500000,145793296,1989-12-13,Comedy,99,7.4,91075
2,3,Turner & Hooch,PG,13000000,71079915,1989-07-28,Crime,100,7.2,91415
3,4,Born on the Fourth of July,R,14000000,161001698,1989-12-20,War,145,7.2,91415
4,5,Field of Dreams,PG,15000000,84431625,1989-04-21,Drama,107,7.5,101702
5,6,Uncle Buck,PG,15000000,79258538,1989-08-16,Family,100,7,77659
6,7,When Harry Met Sally...,R,16000000,92800000,1989-07-21,Romance,96,7.6,180871
7,8,Dead Poets Society,PG,16400000,235860116,1989-06-02,Drama,129,8.1,382002
8,9,Parenthood,PG-13,20000000,126297830,1989-07-31,Comedy,124,7,41866
9,10,Lethal Weapon 2,R,25000000,227853986,1989-07-07,Comedy,114,7.2,151737
10,11,The War of the Roses,R,26000000,160200000,1989-12-08,Comedy,116,6.8,45248
11,12,National Lampoon's Christmas Vacation,PG-13,27000000,71320000,1989-12-01,Action,97,7.6,135690
12,13,"Honey, I Shrunk the Kids",PG,32000000,222724172,1989-06-22,Family,93,6.3,132480
13,14,Batman,PG,35000000,411348924,1989-06-23,Action,126,7.5,319517
14,15,Ghostbusters II,PG,37000000,215394738,1989-06-15,Comedy,108,6.6,171196
15,16,The Little Mermaid,PG,40000000,222300000,1989-11-17,Animation,83,7.6,219221
16,17,Back to the Future Part II,PG,40000000,332000000,1989-11-20,Science Fiction,108,7.8,438940
17,18,Indiana Jones and the Last Crusade,PG-13,48000000,474171806,1989-05-24,Adventure,127,8.2,647495
18,19,Tango & Cash,R,55000000,63408614,1989-12-22,Action,104,6.8,79806
19,20,Steel Magnolias,PG,15000000,95904091,1989-11-15,Drama,119,7.3,43037
20,21,Three Men and a Little Lady,PG,11000000,71600000,1990-11-21,Family,104,6.1,127793
21,22,Teenage Mutant Ninja Turtles,PG,13500000,202000000,1990-03-30,Action,93,6.8,79806
22,23,Pretty Woman,R,14000000,463000000,1990-03-23,Romance,119,7,266405
23,24,Kindergarten Cop,PG-13,15000000,201957688,1990-12-21,Action,111,6.1,127793
24,25,Home Alone,PG,18000000,476684675,1990-11-09,Family,103,7.6,414472
25,26,Bird on a Wire,PG-13,20000000,138700000,1990-05-18,Comedy,110,6,37415
26,27,Misery,R,20000000,61276872,1990-11-28,Drama,107,7.8,168946
27,28,Edward Scissorhands,PG-13,20000000,53000000,1990-12-05,Drama,105,7.9,421760
28,29,Ghost,PG-13,22000000,505000000,1990-07-12,Thriller,127,7,183054
29,30,Presumed Innocent,R,22000000,221303188,1990-07-26,Crime,127,6.9,35122
30,31,Dances with Wolves,PG-13,22000000,424208848,1990-11-09,Western,181,8,224754
31,32,Flatliners,R,26000000,61489265,1990-08-09,Horror,115,6.6,76155
32,33,The Hunt for Red October,PG,30000000,199200000,1990-03-02,Thriller,134,7.6,167212
33,34,Another 48 Hrs.,R,38000000,153518974,1990-06-08,Action,95,5.9,36103
34,35,Back to the Future Part III,PG,40000000,244527583,1990-05-25,Family,118,7.4,369652
35,36,Dick Tracy,PG,47000000,103738726,1990-06-15,Crime,103,6.1,54312
36,37,The Godfather: Part III,R,54000000,136766062,1990-12-24,Drama,162,7.6,332236
37,38,Days of Thunder,PG-13,60000000,157920733,1990-06-27,Adventure,107,6,73649
38,39,Total Recall,R,65000000,261317921,1990-06-01,Science Fiction,113,7.5,282870
39,40,Die Hard 2,R,70000000,240031094,1990-07-02,Thriller,124,7.2,317843
40,41,Fried Green Tomatoes,PG-13,11000000,119418501,1991-12-27,Comedy,130,7.7,62493
41,42,The Silence of the Lambs,R,19000000,272742922,1991-02-01,Crime,119,8.6,1166583
42,43,Sleeping with the Enemy,R,19000000,174999005,1991-02-08,Drama,99,6.2,46455
43,44,Father of the Bride,PG,20000000,89325780,1991-12-20,Romance,105,6.5,64326
44,45,The Naked Gun 2 1/2: The Smell of Fear,PG-13,23000000,86900000,1991-06-28,Drama,85,6.5,64326
45,46,Teenage Mutant Ninja Turtles II,PG,25000000,78600000,1991-03-22,Action,88,8,397467
46,47,Beauty and the Beast,PG,25000000,377350553,1991-11-13,Animation,84,8,397467
47,48,Hot Shots!,PG-13,26000000,181096164,1991-07-31,Comedy,84,6.8,93277
48,49,City Slickers,PG-13,27000000,179033791,1991-06-07,Comedy,112,6.7,45166
49,50,Star Trek VI: The Undiscovered Country,PG,27000000,96900000,1991-12-05,Science Fiction,113,7.2,66086
50,51,The Addams Family,PG-13,30000000,191502426,1991-11-22,Comedy,99,6.9,119260
51,52,The Prince of Tides,R,30000000,74787599,1991-12-25,Romance,132,6.7,14918
52,53,What About Bob?,PG,35000000,63710000,1991-05-17,Comedy,100,7,58797
53,54,Cape Fear,R,35000000,182300000,1991-11-15,Crime,128,7.3,157496
54,55,JFK,R,40000000,205405498,1991-12-20,Drama,189,8,132879
55,56,Robin Hood: Prince of Thieves,PG-13,48000000,390493908,1991-06-14,Adventure,143,6.9,168877
56,57,Hook,PG,70000000,300854823,1991-12-11,Family,144,6.8,218151
57,58,Backdraft,R,75000000,152368585,1991-05-24,Mystery,137,6.7,67442
58,59,Terminator 2: Judgment Day,R,100000000,520000000,1991-07-01,Science Fiction,137,8.5,930593
59,60,The Crying Game,R,3705538,62548947,1992-09-02,Romance,112,7.2,48101
60,61,The Hand that Rocks the Cradle,R,11700000,88036683,1992-01-10,Drama,110,8.2,348791
61,62,Unforgiven,R,14000000,159157447,1992-08-07,Western,131,8.2,348791
62,63,Home Alone 2: Lost in New York,PG,18000000,358991681,1992-11-19,Family,120,6.7,269944
63,64,Wayne's World,PG-13,20000000,121697323,1992-02-14,Comedy,94,7,135657
64,65,The Bodyguard,R,25000000,411006740,1992-11-25,Action,129,6.3,110511
65,66,Aladdin,G,28000000,504050219,1992-11-25,Animation,90,8,336384
66,67,White Men Can't Jump,R,31000000,90753806,1992-03-26,Comedy,115,6.8,70430
67,68,Sister Act,PG,31000000,231605150,1992-05-28,Comedy,100,6.4,80510
68,69,Scent of a Woman,R,31000000,134095253,1992-12-23,Drama,157,8,238212
69,70,Lethal Weapon 3,R,35000000,321731527,1992-05-15,Action,118,6.7,148440
70,71,Under Siege,R,35000000,156563139,1992-10-08,Action,103,6.5,71962
71,72,Boomerang,R,40000000,70100000,1992-06-30,Romance,117,5.5,24114
